vehicle_id,tracking_duration,detection_count,tracking_consistency,total_gaps,avg_gap_size,max_gap_size,recognition_count,recognition_rate
1,126,126,100.0,0,0,0,105,83.33333333333334
3,35,35,100.0,0,0,0,22,62.857142857142854
5,64,64,100.0,0,0,0,17,26.5625
6,122,122,100.0,0,0,0,40,32.78688524590164
8,168,168,100.0,0,0,0,66,39.285714285714285
16,26,26,100.0,0,0,0,20,76.92307692307693
34,15,15,100.0,0,0,0,14,93.33333333333333
58,4,4,100.0,0,0,0,2,50.0
299,105,105,100.0,0,0,0,88,83.80952380952381
319,68,68,100.0,0,0,0,59,86.76470588235294
331,143,143,100.0,0,0,0,36,25.174825174825177
345,153,153,100.0,0,0,0,96,62.745098039215684
366,206,206,100.0,0,0,0,117,56.79611650485437
380,45,45,100.0,0,0,0,2,4.444444444444445
385,64,64,100.0,0,0,0,10,15.625
470,13,13,100.0,0,0,0,5,38.46153846153847
515,2,2,100.0,0,0,0,2,100.0
527,20,20,100.0,0,0,0,8,40.0
556,16,16,100.0,0,0,0,12,75.0
591,1,1,100.0,0,0,0,1,100.0
604,116,116,100.0,0,0,0,52,44.827586206896555
614,103,103,100.0,0,0,0,37,35.92233009708738
657,34,34,100.0,0,0,0,11,32.35294117647059
784,133,133,100.0,0,0,0,60,45.11278195488722
982,1,1,100.0,0,0,0,1,100.0
998,3,3,100.0,0,0,0,2,66.66666666666666
1008,75,75,100.0,0,0,0,31,41.333333333333336
1016,77,77,100.0,0,0,0,58,75.32467532467533
1106,60,60,100.0,0,0,0,36,60.0
1122,61,61,100.0,0,0,0,35,57.377049180327866
1255,5,5,100.0,0,0,0,3,60.0
1263,107,107,100.0,0,0,0,52,48.598130841121495
1469,167,167,100.0,0,0,0,120,71.8562874251497
1471,13,13,100.0,0,0,0,2,15.384615384615385
1548,1,1,100.0,0,0,0,1,100.0
1565,1,1,100.0,0,0,0,1,100.0
1582,41,41,100.0,0,0,0,17,41.46341463414634
1588,1,1,100.0,0,0,0,1,100.0
1655,39,39,100.0,0,0,0,18,46.15384615384615
1713,85,85,100.0,0,0,0,48,56.470588235294116
